Sample ID,Depth (m),SS mean
MD02-2588-644.5,644.5,21.1717
MD02-2588-645.5,645.5,21.6336
MD02-2588-646.5,646.5,21.9664
MD02-2588-647.5,647.5,21.332
MD02-2588-648.5,648.5,20.5918
MD02-2588-649.5,649.5,20.5507
MD02-2588-650.5,650.5,20.3489
MD02-2588-651.5,651.5,21.2258
MD02-2588-652.5,652.5,22.3955
MD02-2588-653.5,653.5,21.8181
MD02-2588-654.5,654.5,21.0811
MD02-2588-655.5,655.5,20.6594
MD02-2588-656.5,656.5,19.8218
MD02-2588-657.5,657.5,22.2851
MD02-2588-658.5,658.5,23.3259
MD02-2588-659.5,659.5,23.8526
MD02-2588-660.5,660.5,21.0336
MD02-2588-661.5,661.5,20.9958
MD02-2588-662.5,662.5,21.5907
MD02-2588-663.5,663.5,21.8184
MD02-2588-664.5,664.5,22.6052
MD02-2588-665.5,665.5,22.4014
MD02-2588-666.5,666.5,21.885
MD02-2588-667.5,667.5,21.7029
MD02-2588-668.5,668.5,20.9956
MD02-2588-669.5,669.5,20.7529
MD02-2588-670.5,670.5,19.9794
MD02-2588-671.5,671.5,20.5121
MD02-2588-672.5,672.5,20.5409
MD02-2588-673.5,673.5,20.8309
MD02-2588-674.5,674.5,20.9597
MD02-2588-675.5,675.5,21.4573
MD02-2588-676.5,676.5,21.0231
MD02-2588-677.5,677.5,19.9231
MD02-2588-678.5,678.5,21.0132
MD02-2588-679.5,679.5,20.0332
MD02-2588-680.5,680.5,20.8735
MD02-2588-681.5,681.5,19.9163
MD02-2588-682.5,682.5,20.6062
MD02-2588-683.5,683.5,22.1863
MD02-2588-684.5,684.5,21.2284
MD02-2588-685.5,685.5,21.7396
MD02-2588-686.5,686.5,19.8854
MD02-2588-687.5,687.5,21.6222
MD02-2588-688.5,688.5,22.1237
MD02-2588-689.5,689.5,21.2557
MD02-2588-690.5,690.5,22.7303
MD02-2588-691.5,691.5,21.3325
MD02-2588-692.5,692.5,21.8131
MD02-2588-693.5,693.5,21.6513
MD02-2588-694.5,694.5,21.811
MD02-2588-695.5,695.5,19.4198
MD02-2588-696.5,696.5,20.2161
MD02-2588-697.5,697.5,20.5926
MD02-2588-698.5,698.5,20.1336
