,Sample ID,Depth (m),APcomp Depth (m),Cwu d18O (VPDB),Cwu d13C (VPDB),n specimens G. trunc,Gtrunc d18O (VDPB),Gtrunc d13C (VPDB),sample weight (g),IRD #/g,IRD MAR ,SS mean,SS Std
1656,"361-U1475E-4H-5, 118-120",34.381,35.536,2.816,0.106,2,,,10.40354371,10.40354371,24.18362703,24.785,0.148492424
1657,"361-U1475E-4H-5, 122-124",34.421,35.576,2.866,0.345,2,,,2.200900994,2.200900994,5.014792693,23.295,0.049497475
1658,"361-U1475E-4H-5, 126-128",34.461,35.616,3.156,0.191,2,,,8.718950093,8.718950093,19.34567679,23.53,0.056568542
1659,"361-U1475E-4H-5, 130-132",34.501,35.656,3.463,0.069,6,,,16.58407022,16.58407022,29.58158761,22.21,0.220680765
1660,"361-U1475E-4H-5, 134-136",34.541,35.696,3.684,-0.011,6,,,6.537728139,6.537728139,12.03741073,23.28,0.183847763
1661,"361-U1475E-4H-5, 138-140",34.581,35.736,3.552,-0.066,6,,,16.45606818,16.45606818,29.82627265,24.64333333,0.274651294
1662,"361-U1475E-4H-5, 142-144",34.621,35.776,3.962,-0.035,5,,,12.47603886,12.47603886,22.94127689,27.94,0.070710678
1663,"361-U1475E-4H-5, 146-148",34.661,35.816,4.16,-0.79,3,,,14.73353029,14.73353029,26.64141053,27.4,0.197989899
1664,"361-U1475E-4H-6, 0-2",34.701,35.856,3.998,-0.045,5,,,33.55785907,33.55785907,61.20365683,28.87,0.141421356
1665,"361-U1475E-4H-6, 4-6",34.741,35.896,3.81,-0.099,5,,,21.75298466,21.75298466,40.01316462,27.65,0.212132034
1666,"361-U1475E-4H-6, 8-10",34.781,35.936,3.57,-0.016,,,,13.90155958,13.90155958,24.08791877,24.39,0.22627417
1667,"361-U1475E-4H-6, 12-14",34.821,35.976,3.533,0.454,6,,,30.13892159,30.13892159,47.9020041,23.26666667,0.308274769
